dataset,track_id,tau_ms,fit_r2,fit_nrmse_range,fit_window_over_tau,n_points,tau_source_status,fit_status
FAPI-TEMPO,86,277.34698871465514,0.5327687906757056,0.0901425565620404,0.6706400558448598,95.0,qc_fail,
FAPI-TEMPO,100,279.2128629414303,0.3620735484829456,0.0130888748067822,0.3581496889023223,68.0,qc_fail,
FAPI-TEMPO,80,285.0913724861149,0.3772945609221217,0.1080794394867113,0.6454071142014707,94.0,qc_fail,
FAPI-TEMPO,45,287.1550678790398,0.4650917214352943,0.1425178115245554,0.647733649187588,96.0,qc_fail,
FAPI-TEMPO,145,290.69221790812986,0.4359876572911583,0.1965884858522468,0.7292936891313696,156.0,qc_fail,
FAPI-TEMPO,118,291.2089649304917,0.54813364064514,0.1901868187455532,0.858490053902263,160.0,qc_fail,
FAPI-TEMPO,160,295.00054228513704,0.6956060286156889,0.1508626880734381,0.9220322033750517,155.0,qc_fail,
FAPI-TEMPO,208,295.18286977592805,0.2684962030767653,0.1230404810020534,0.2574675151633672,66.0,qc_fail,
FAPI-TEMPO,318,306.0641304749972,0.1057044169227507,0.2107166952813943,0.3855401148016578,126.0,qc_fail,
FAPI-TEMPO,72,307.50408926941776,0.4511986486707559,0.1979925044794402,0.754461511556468,165.0,qc_fail,
FAPI-TEMPO,55,310.2940555371187,0.4632723176523977,0.1956152839805501,0.6832228855722944,167.0,qc_fail,
FAPI-TEMPO,131,314.11906538257404,0.646347368413587,0.1338818499904964,0.7958765562208658,158.0,qc_fail,
FAPI-TEMPO,138,314.76311574655546,0.7460312543993772,0.1247275180698813,0.9403897254541624,157.0,qc_fail,
FAPI-TEMPO,22,316.5866774930907,0.2860324405660058,0.1164150772733829,0.6380559080993183,104.0,qc_fail,
FAPI-TEMPO,103,316.8804590259772,0.303523871514887,0.1139337299828676,0.5743490796479818,95.0,qc_fail,
FAPI-TEMPO,76,318.0964334799235,0.2390562697256065,0.1066301717124203,0.5847283415447011,96.0,qc_fail,
FAPI-TEMPO,163,320.7654941560661,0.7721673218605826,0.1256774829149368,0.9414977779781516,154.0,qc_fail,
FAPI-TEMPO,108,322.9822672226109,0.2596288082797954,0.1140286889174849,0.5449215571909232,91.0,qc_fail,
FAPI-TEMPO,114,323.6963175415848,0.4506278007030756,0.1794144580506101,0.6920066366563563,160.0,qc_fail,
FAPI-TEMPO,77,324.82238692943287,0.5137499225005868,0.1685408201810049,0.8065946515469671,164.0,qc_fail,
FAPI-TEMPO,60,325.02439113349965,0.5903937107811039,0.1420403910467522,0.7445595056913792,166.0,qc_fail,
FAPI-TEMPO,137,336.0289776003392,0.6825753096348162,0.1687917905018462,0.904683882238176,158.0,qc_fail,
FAPI-TEMPO,124,336.6407949752122,0.3817368854594092,0.1998973825315709,0.6475745163804403,159.0,qc_fail,
FAPI-TEMPO,46,336.7916482702739,0.508543206192426,0.0166840079691637,0.5760237850206896,111.0,qc_fail,
FAPI-TEMPO,113,339.5329394374173,0.3044259789982433,0.2174294500232974,0.6361680264598101,160.0,qc_fail,
FAPI-TEMPO,157,354.3218290735479,0.2187540261219247,0.2306565037382942,0.5757477616702383,154.0,qc_fail,
FAPI-TEMPO,102,359.8526010814012,0.1468649046549851,0.2007515058063211,0.300122882745454,159.0,qc_fail,
FAPI-TEMPO,362,364.61409256113615,0.2060379332481996,0.1249506608112571,0.2413510662242017,45.0,qc_fail,
FAPI-TEMPO,167,376.0453160419517,0.6029302234141876,0.1250004149415483,0.6648134927762535,153.0,qc_fail,
FAPI-TEMPO,120,376.8760938601935,0.3669657933132558,0.1694636451133735,0.5465987452003737,159.0,qc_fail,
FAPI-TEMPO,95,378.1028476936315,0.4192425731770117,0.1606463113045849,0.5977209676641285,163.0,qc_fail,
FAPI-TEMPO,119,378.8210305208726,0.5799984379349636,0.1189275773924742,0.5437924069758044,160.0,qc_fail,
FAPI-TEMPO,16,380.7906950521551,0.7294717220345973,0.1082683421794932,0.8035910645297902,174.0,qc_fail,
FAPI-TEMPO,82,389.6610612262483,0.1368257584947592,0.3364205165757501,0.4619399214115646,163.0,qc_fail,
FAPI-TEMPO,112,392.4133087813923,0.565463433838949,0.1312541337286712,0.5912133834615783,140.0,qc_fail,
FAPI-TEMPO,66,403.9806478931472,0.5919008586782277,0.0099531569859442,0.4653688264040954,166.0,qc_fail,
FAPI-TEMPO,40,410.450963739566,0.7388606641980452,0.1146245732001908,0.7114126309745396,169.0,qc_fail,
